%OpenBCI Raw EXG Data\n%Number of channels = 16\n%Sample Rate = 125.0 Hz\n%Board = LSL_Stream\nSample Index,EXG Channel 0,EXG Channel 1,EXG Channel 2,EXG Channel 3,EXG Channel 4,EXG Channel 5,EXG Channel 6,EXG Channel 7,EXG Channel 8,EXG Channel 9,EXG Channel 10,EXG Channel 11,EXG Channel 12,EXG Channel 13,EXG Channel 14,EXG Channel 15,Accel Channel 0,Accel Channel 1,Accel Channel 2,Other,Other,Other,Other,Other,Other,Other,Analog Channel 0,Analog Channel 1,Analog Channel 2,Timestamp,Other,Timestamp (Formatted),Annotations
14,-7.855000019073486,-26.290000915527344,-65.11000061035156,-42.83000183105469,-44.59000015258789,-42.150001525878906,-51.16999816894531,-60.18000030517578,-49.2599983215332,34.95000076293945,36.75,18.329999923706055,14.609999656677246,2.4690001010894775,55.27000045776367,76.1500015258789,0,0,0,0,0,0,0,0,0,0,0,0,0,4.170747,0,2025-05-31 12:10:03.424587,
15,1.7480000257492065,-10.699999809265137,-59.560001373291016,-43.81999969482422,-39.08000183105469,-27.190000534057617,-35.29999923706055,-51.099998474121094,-27.309999465942383,29.65999984741211,50.5099983215332,34.529998779296875,38.45000076293945,34.06999969482422,52.13999938964844,75.16000366210938,0,0,0,0,0,0,0,0,0,0,0,0,0,4.170747,0,2025-05-31 12:10:03.424587,
16,9.543999671936035,4.73799991607666,-51.369998931884766,-33.66999816894531,-33.400001525878906,-18.25,-26.020000457763672,-34.099998474121094,-34.40999984741211,30.0,22.459999084472656,12.65999984741211,22.020000457763672,25.049999237060547,41.93000030517578,84.33000183105469,0,0,0,0,0,0,0,0,0,0,0,0,0,4.170747,0,2025-05-31 12:10:03.424587,
17,-7.997000217437744,-1.6009999513626099,-55.13999938964844,-28.719999313354492,-39.209999084472656,-23.469999313354492,-32.400001525878906,-35.560001373291016,-80.83000183105469,19.3700008392334,-0.2583000063896179,-6.660999774932861,5.315000057220459,4.050000190734863,27.049999237060547,68.48999786376953,0,0,0,0,0,0,0,0,0,0,0,0,0,4.217468,0,2025-05-31 12:10:03.471308,
18,-26.8700008392334,-10.359999656677246,-62.95000076293945,-44.06999969482422,-40.43000030517578,-29.200000762939453,-38.20000076293945,-42.97999954223633,-58.20000076293945,11.989999771118164,16.239999771118164,0.8607000112533569,13.470000267028809,12.699999809265137,27.600000381469727,43.72999954223633,0,0,0,0,0,0,0,0,0,0,0,0,0,4.217468,0,2025-05-31 12:10:03.471308,
19,-22.739999771118164,-11.899999618530273,-64.66999816894531,-55.72999954223633,-33.369998931884766,-27.700000762939453,-35.88999938964844,-26.950000762939453,-1.343999981880188,44.04999923706055,41.959999084472656,23.559999465942383,36.45000076293945,33.66999816894531,48.79999923706055,48.349998474121094,0,0,0,0,0,0,0,0,0,0,0,0,0,4.217468,0,2025-05-31 12:10:03.471308,
20,10.760000228881836,8.87399959564209,-62.33000183105469,-39.95000076293945,-23.1299991607666,-13.130000114440918,-21.860000610351562,4.127999782562256,1.9800000190734863,79.62000274658203,60.869998931884766,50.09000015258789,62.15999984741211,44.84000015258789,80.29000091552734,83.31999969482422,0,0,0,0,0,0,0,0,0,0,0,0,0,4.217468,0,2025-05-31 12:10:03.471308,
21,34.93000030517578,35.84000015258789,-68.0999984741211,-29.829999923706055,-10.5600004196167,-4.599999904632568,-15.579999923706055,11.180000305175781,-7.749000072479248,88.41999816894531,60.29999923706055,44.02000045776367,54.43000030517578,33.86000061035156,92.79000091552734,101.30000305175781,0,0,0,0,0,0,0,0,0,0,0,0,0,4.217468,0,2025-05-31 12:10:03.471308,
22,12.210000038146973,30.899999618530273,-80.70999908447266,-41.38999938964844,-20.09000015258789,-18.6299991607666,-30.670000076293945,-6.374000072479248,-24.1299991607666,86.66000366210938,40.560001373291016,9.456999778747559,25.200000762939453,17.31999969482422,71.91000366210938,84.16000366210938,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263627,0,2025-05-31 12:10:03.517467,
23,-22.479999542236328,6.570000171661377,-110.4000015258789,-70.33000183105469,-76.0199966430664,-44.290000915527344,-53.619998931884766,-29.81999969482422,-70.5,56.20000076293945,33.290000915527344,2.312000036239624,24.75,21.389999389648438,44.119998931884766,65.19000244140625,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263627,0,2025-05-31 12:10:03.517467,
24,-26.190000534057617,-3.3469998836517334,-141.8000030517578,-108.5,-106.9000015258789,-60.84000015258789,-69.72000122070312,-52.59000015258789,-64.47000122070312,15.010000228881836,43.189998626708984,19.190000534057617,36.25,30.219999313354492,36.06999969482422,61.45000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263627,0,2025-05-31 12:10:03.517467,
25,-22.389999389648438,-7.177999973297119,-123.19999694824219,-103.5999984741211,-54.33000183105469,-61.150001525878906,-73.36000061035156,-53.22999954223633,-19.579999923706055,25.139999389648438,31.09000015258789,1.99399995803833,16.219999313354492,16.760000228881836,36.599998474121094,56.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263627,0,2025-05-31 12:10:03.517467,
26,-47.33000183105469,-25.270000457763672,-88.1500015258789,-54.43000030517578,-21.31999969482422,-58.47999954223633,-70.43000030517578,-27.920000076293945,-46.15999984741211,39.93000030517578,-9.96500015258789,-38.16999816894531,-15.210000038146973,-4.36299991607666,21.6299991607666,36.15999984741211,0,0,0,0,0,0,0,0,0,0,0,0,0,4.263627,0,2025-05-31 12:10:03.517467,
27,-69.62999725341797,-36.54999923706055,-92.52999877929688,-31.450000762939453,-54.77000045776367,-51.619998931884766,-61.43000030517578,-7.796999931335449,-81.04000091552734,10.1899995803833,-22.149999618530273,-30.899999618530273,-11.640000343322754,1.5140000581741333,5.156000137329102,23.219999313354492,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314712,0,2025-05-31 12:10:03.568552,
28,-41.15999984741211,-19.34000015258789,-90.88999938964844,-34.959999084472656,-51.779998779296875,-32.849998474121094,-44.06999969482422,-5.126999855041504,-55.13999938964844,12.949999809265137,15.970000267028809,11.680000305175781,18.6200008392334,26.959999084472656,19.81999969482422,45.11000061035156,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314712,0,2025-05-31 12:10:03.568552,
29,-8.951000213623047,-7.423999786376953,-77.30999755859375,-37.779998779296875,-27.600000381469727,-33.47999954223633,-47.5099983215332,-20.149999618530273,-52.79999923706055,42.779998779296875,32.65999984741211,11.050000190734863,26.489999771118164,27.670000076293945,46.54999923706055,78.33999633789062,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314712,0,2025-05-31 12:10:03.568552,
30,-36.72999954223633,-23.829999923706055,-104.80000305175781,-59.529998779296875,-59.029998779296875,-60.849998474121094,-73.18000030517578,-44.310001373291016,-74.81999969482422,18.389999389648438,-7.349999904632568,-25.139999389648438,14.029999732971191,12.600000381469727,39.16999816894531,85.44999694824219,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314712,0,2025-05-31 12:10:03.568552,
31,-64.2699966430664,-24.18000030517578,-119.4000015258789,-66.36000061035156,-72.19999694824219,-52.47999954223633,-58.75,-32.849998474121094,-61.08000183105469,28.559999465942383,-42.279998779296875,-29.649999618530273,28.3700008392334,27.31999969482422,4.913000106811523,81.38999938964844,0,0,0,0,0,0,0,0,0,0,0,0,0,4.314712,0,2025-05-31 12:10:03.568552,
32,-33.060001373291016,8.574000358581543,-78.38999938964844,-29.299999237060547,-35.130001068115234,-9.486000061035156,-15.050000190734863,3.640000104904175,-57.34000015258789,110.5999984741211,-50.2400016784668,-18.56999969482422,42.09000015258789,34.310001373291016,-19.540000915527344,79.27999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360601,0,2025-05-31 12:10:03.614441,
33,-20.43000030517578,7.63100004196167,-76.25,-30.979999542236328,-43.650001525878906,-26.06999969482422,-34.72999954223633,-17.09000015258789,-96.73999786376953,63.63999938964844,-67.69000244140625,-44.77000045776367,-0.8237000107765198,-6.354000091552734,-30.18000030517578,55.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360601,0,2025-05-31 12:10:03.614441,
34,-69.25,-45.029998779296875,-132.8000030517578,-84.33999633789062,-91.12000274658203,-90.6500015258789,-94.66999816894531,-67.73999786376953,-132.5,-87.8499984741211,-75.86000061035156,-72.81999969482422,-37.29999923706055,-18.280000686645508,-35.84000015258789,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360601,0,2025-05-31 12:10:03.614441,
35,-97.7699966430664,-62.279998779296875,-149.0,-87.5999984741211,-100.5999984741211,-101.9000015258789,-99.08000183105469,-51.0,-128.5,-67.19999694824219,-57.84000015258789,-60.52000045776367,-12.260000228881836,19.479999542236328,-35.849998474121094,8.4399995803833,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360601,0,2025-05-31 12:10:03.614441,
36,-85.13999938964844,-26.889999389648438,-132.1999969482422,-61.470001220703125,-96.6500015258789,-84.93000030517578,-81.04000091552734,-12.420000076293945,-107.80000305175781,49.20000076293945,-55.61000061035156,-50.060001373291016,0.005200000014156103,18.68000030517578,-36.349998474121094,14.800000190734863,0,0,0,0,0,0,0,0,0,0,0,0,0,4.360601,0,2025-05-31 12:10:03.614441,
37,-91.8499984741211,-19.56999969482422,-151.60000610351562,-87.87000274658203,-116.19999694824219,-106.4000015258789,-100.0999984741211,-28.219999313354492,-118.30000305175781,31.90999984741211,-71.66000366210938,-61.58000183105469,-16.780000686645508,-3.611999988555908,-37.7599983215332,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.403376,0,2025-05-31 12:10:03.657216,
38,-112.5999984741211,-38.33000183105469,-169.60000610351562,-113.0,-131.10000610351562,-124.69999694824219,-111.9000015258789,-45.68000030517578,-141.89999389648438,12.9399995803833,-85.5999984741211,-66.33999633789062,-6.906000137329102,15.670000076293945,-32.650001525878906,47.630001068115234,0,0,0,0,0,0,0,0,0,0,0,0,0,4.403376,0,2025-05-31 12:10:03.657216,
39,-114.69999694824219,-34.630001068115234,-150.6999969482422,-92.1500015258789,-127.0999984741211,-115.19999694824219,-98.5,-33.15999984741211,-130.39999389648438,81.27999877929688,-99.26000213623047,-64.87999725341797,0.257099986076355,27.75,-29.739999771118164,64.72000122070312,0,0,0,0,0,0,0,0,0,0,0,0,0,4.403376,0,2025-05-31 12:10:03.657216,
40,-97.33000183105469,-25.420000076293945,-136.3000030517578,-73.69999694824219,-111.9000015258789,-102.9000015258789,-85.91000366210938,-30.479999542236328,-110.9000015258789,72.48999786376953,-83.36000061035156,-52.040000915527344,-3.747999906539917,15.229999542236328,-26.989999771118164,58.720001220703125,0,0,0,0,0,0,0,0,0,0,0,0,0,4.403376,0,2025-05-31 12:10:03.657216,
41,-61.02000045776367,-13.6899995803833,-131.3000030517578,-65.70999908447266,-97.5199966430664,-83.77999877929688,-65.19999694824219,-31.739999771118164,-116.80000305175781,17.690000534057617,-50.09000015258789,-26.559999465942383,20.420000076293945,21.360000610351562,-5.802999973297119,63.310001373291016,0,0,0,0,0,0,0,0,0,0,0,0,0,4.403376,0,2025-05-31 12:10:03.657216,
42,-41.52000045776367,2.9860000610351562,-119.80000305175781,-63.08000183105469,-104.5,-75.61000061035156,-55.220001220703125,-28.809999465942383,-123.69999694824219,21.8700008392334,-56.40999984741211,-25.40999984741211,26.25,17.440000534057617,13.449999809265137,79.41000366210938,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45062,0,2025-05-31 12:10:03.704460,
43,-58.689998626708984,-11.34000015258789,-118.4000015258789,-75.52999877929688,-111.30000305175781,-89.77999877929688,-69.66999816894531,-40.939998626708984,-113.4000015258789,5.065000057220459,-60.540000915527344,-29.959999084472656,3.2920000553131104,-1.597000002861023,4.7129998207092285,73.31999969482422,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45062,0,2025-05-31 12:10:03.704460,
44,-53.06999969482422,-29.709999084472656,-119.9000015258789,-71.54000091552734,-93.68000030517578,-86.7699966430664,-65.79000091552734,-46.560001373291016,-101.69999694824219,-6.10099983215332,-28.770000457763672,-4.047999858856201,21.829999923706055,23.719999313354492,0.22859999537467957,75.27999877929688,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45062,0,2025-05-31 12:10:03.704460,
45,-26.1299991607666,-11.239999771118164,-111.30000305175781,-52.91999816894531,-91.18000030517578,-75.1500015258789,-53.900001525878906,-37.869998931884766,-113.0,55.83000183105469,-36.709999084472656,-0.4657000005245209,41.939998626708984,54.099998474121094,18.489999771118164,105.69999694824219,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45062,0,2025-05-31 12:10:03.704460,
46,-42.630001068115234,-6.4679999351501465,-107.30000305175781,-52.63999938964844,-108.5,-82.37999725341797,-62.27000045776367,-42.720001220703125,-130.10000610351562,65.33000183105469,-84.33000183105469,-39.0,1.6440000534057617,18.59000015258789,18.739999771118164,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45062,0,2025-05-31 12:10:03.704460,
47,-71.47000122070312,-33.90999984741211,-105.19999694824219,-53.349998474121094,-102.9000015258789,-78.19999694824219,-56.599998474121094,-46.52000045776367,-114.4000015258789,9.057000160217285,-94.0999984741211,-53.93000030517578,-29.809999465942383,-23.8700008392334,-8.378000259399414,53.2400016784668,0,0,0,0,0,0,0,0,0,0,0,0,0,4.496579,0,2025-05-31 12:10:03.750419,
48,-68.22000122070312,-39.599998474121094,-100.80000305175781,-51.97999954223633,-94.04000091552734,-66.08000183105469,-43.630001068115234,-39.0,-91.75,14.430000305175781,-69.73999786376953,-36.86000061035156,-15.430000305175781,-15.819999694824219,-22.399999618530273,26.75,0,0,0,0,0,0,0,0,0,0,0,0,0,4.496579,0,2025-05-31 12:10:03.750419,
49,-61.630001068115234,-22.81999969482422,-104.5999984741211,-56.54999923706055,-98.19999694824219,-72.66000366210938,-51.18000030517578,-40.56999969482422,-94.70999908447266,37.880001068115234,-44.779998779296875,-27.059999465942383,-8.699999809265137,-3.065000057220459,-10.699999809265137,32.099998474121094,0,0,0,0,0,0,0,0,0,0,0,0,0,4.496579,0,2025-05-31 12:10:03.750419,
50,-58.599998474121094,-17.170000076293945,-107.80000305175781,-42.33000183105469,-88.20999908447266,-73.45999908447266,-52.7400016784668,-37.02000045776367,-102.0,10.5600004196167,-35.619998931884766,-25.139999389648438,-17.229999542236328,-10.479999542236328,5.10099983215332,33.880001068115234,0,0,0,0,0,0,0,0,0,0,0,0,0,4.496579,0,2025-05-31 12:10:03.750419,
51,-59.130001068115234,-24.280000686645508,-112.0,-38.40999984741211,-87.68000030517578,-76.23999786376953,-57.130001068115234,-32.47999954223633,-111.5999984741211,-11.680000305175781,-58.72999954223633,-25.770000457763672,-21.68000030517578,-18.829999923706055,6.935999870300293,33.029998779296875,0,0,0,0,0,0,0,0,0,0,0,0,0,4.496579,0,2025-05-31 12:10:03.750419,
52,-72.72000122070312,-34.470001220703125,-128.39999389648438,-71.91999816894531,-106.0,-101.80000305175781,-81.37000274658203,-51.689998626708984,-115.80000305175781,8.529999732971191,-73.9000015258789,-28.90999984741211,-22.079999923706055,-23.760000228881836,-7.635000228881836,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543589,0,2025-05-31 12:10:03.797429,
53,-62.709999084472656,-28.809999465942383,-126.19999694824219,-76.9800033569336,-88.80000305175781,-100.69999694824219,-78.9000015258789,-57.900001525878906,-85.38999938964844,59.66999816894531,-45.720001220703125,-23.510000228881836,-7.065999984741211,-18.239999771118164,-22.360000610351562,12.600000381469727,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543589,0,2025-05-31 12:10:03.797429,
54,-25.809999465942383,-5.10699987411499,-91.08000183105469,-39.130001068115234,-45.83000183105469,-69.54000091552734,-51.540000915527344,-42.77000045776367,-55.29999923706055,73.18000030517578,-24.1200008392334,-13.09000015258789,13.470000267028809,-5.5980000495910645,-22.030000686645508,-2.509999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543589,0,2025-05-31 12:10:03.797429,
55,-15.770000457763672,2.2079999446868896,-76.87000274658203,-28.059999465942383,-39.7400016784668,-69.4800033569336,-52.72999954223633,-52.650001525878906,-64.20999908447266,17.559999465942383,-36.68000030517578,-13.529999732971191,13.09000015258789,-1.7710000276565552,-13.079999923706055,13.15999984741211,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543589,0,2025-05-31 12:10:03.797429,
56,-35.95000076293945,-10.5,-102.30000305175781,-48.400001525878906,-66.55999755859375,-86.81999969482422,-68.5199966430664,-65.19999694824219,-78.63999938964844,5.066999912261963,-45.86000061035156,-26.079999923706055,2.821000099182129,-0.977400004863739,-4.2829999923706055,46.81999969482422,0,0,0,0,0,0,0,0,0,0,0,0,0,4.543589,0,2025-05-31 12:10:03.797429,
57,-50.880001068115234,-16.709999084472656,-111.0999984741211,-58.310001373291016,-76.72000122070312,-84.9800033569336,-68.01000213623047,-53.66999816894531,-74.01000213623047,33.25,-38.20000076293945,-37.15999984741211,-7.281000137329102,-9.875,5.0229997634887695,62.13999938964844,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590633,0,2025-05-31 12:10:03.844473,
58,-53.86000061035156,-26.360000610351562,-95.70999908447266,-58.27000045776367,-61.689998626708984,-87.33999633789062,-72.05000305175781,-57.63999938964844,-79.30999755859375,-5.789999961853027,-41.709999084472656,-47.09000015258789,-32.040000915527344,-41.880001068115234,2.7330000400543213,42.189998626708984,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590633,0,2025-05-31 12:10:03.844473,
59,-63.41999816894531,-51.33000183105469,-103.9000015258789,-60.689998626708984,-60.09000015258789,-98.83999633789062,-84.83999633789062,-74.87999725341797,-100.80000305175781,-18.15999984741211,-68.38999938964844,-64.16999816894531,-54.04999923706055,-60.16999816894531,-24.520000457763672,5.4120001792907715,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590633,0,2025-05-31 12:10:03.844473,
60,-79.93000030517578,-62.52000045776367,-113.80000305175781,-54.849998474121094,-72.5199966430664,-93.3499984741211,-78.98999786376953,-69.87000274658203,-95.23999786376953,38.7599983215332,-74.55000305175781,-64.83999633789062,-42.310001373291016,-41.47999954223633,-47.959999084472656,-9.711999893188477,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590633,0,2025-05-31 12:10:03.844473,
61,-73.26000213623047,-47.5099983215332,-88.72000122070312,-36.16999816894531,-60.7599983215332,-77.31999969482422,-61.47999954223633,-56.970001220703125,-76.37000274658203,17.8799991607666,-41.27000045776367,-42.88999938964844,-24.010000228881836,-33.59000015258789,-32.38999938964844,3.2060000896453857,0,0,0,0,0,0,0,0,0,0,0,0,0,4.590633,0,2025-05-31 12:10:03.844473,
62,-54.529998779296875,-38.20000076293945,-69.19000244140625,-28.020000457763672,-44.2400016784668,-72.52999877929688,-58.119998931884766,-58.13999938964844,-86.7699966430664,-37.970001220703125,-35.5099983215332,-40.15999984741211,-32.7400016784668,-52.34000015258789,-6.881999969482422,5.7210001945495605,0,0,0,0,0,0,0,0,0,0,0,0,0,4.638892,0,2025-05-31 12:10:03.892732,
63,-59.79999923706055,-43.060001373291016,-74.01000213623047,-39.810001373291016,-49.599998474121094,-75.5199966430664,-61.47999954223633,-66.16000366210938,-80.05999755859375,-12.029999732971191,-73.33000183105469,-59.560001373291016,-40.13999938964844,-47.56999969482422,-15.4399995803833,-10.449999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,4.638892,0,2025-05-31 12:10:03.892732,
64,-66.55000305175781,-38.81999969482422,-79.02999877929688,-45.27000045776367,-53.72999954223633,-73.16000366210938,-57.630001068115234,-68.30000305175781,-68.25,18.770000457763672,-97.66000366210938,-77.56999969482422,-33.599998474121094,-23.81999969482422,-44.43000030517578,-7.932000160217285,0,0,0,0,0,0,0,0,0,0,0,0,0,4.638892,0,2025-05-31 12:10:03.892732,
65,-65.0,-34.58000183105469,-90.5199966430664,-39.7599983215332,-65.54000091552734,-67.66999816894531,-52.810001373291016,-61.369998931884766,-126.30000305175781,28.65999984741211,-105.69999694824219,-95.62000274658203,-36.47999954223633,-24.809999465942383,-63.08000183105469,16.920000076293945,0,0,0,0,0,0,0,0,0,0,0,0,0,4.638892,0,2025-05-31 12:10:03.892732,
66,-73.75,-34.54999923706055,-100.30000305175781,-43.86000061035156,-86.87000274658203,-64.30999755859375,-49.650001525878906,-56.400001525878906,-158.5,67.4800033569336,-99.38999938964844,-89.0,-27.389999389648438,-26.15999984741211,-59.7599983215332,34.40999984741211,0,0,0,0,0,0,0,0,0,0,0,0,0,4.638892,0,2025-05-31 12:10:03.892732,
67,-62.189998626708984,-10.699999809265137,-94.1500015258789,-50.02000045776367,-74.3499984741211,-64.44000244140625,-48.58000183105469,-64.26000213623047,-92.6500015258789,60.22999954223633,-65.30000305175781,-53.47999954223633,1.843999981880188,-8.48900032043457,-33.68000030517578,43.68000030517578,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684317,0,2025-05-31 12:10:03.938157,
68,-36.52000045776367,11.100000381469727,-98.8499984741211,-46.86000061035156,-50.970001220703125,-71.41999816894531,-54.790000915527344,-77.3499984741211,-53.84000015258789,-18.040000915527344,-43.810001373291016,-40.630001068115234,7.419000148773193,-7.140999794006348,-7.583000183105469,57.52000045776367,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684317,0,2025-05-31 12:10:03.938157,
69,-42.06999969482422,-2.812000036239624,-109.0,-43.459999084472656,-57.029998779296875,-72.98999786376953,-56.0099983215332,-79.29000091552734,-72.61000061035156,-47.560001373291016,-45.45000076293945,-45.84000015258789,-2.996000051498413,-14.729999542236328,-4.072999954223633,65.9800033569336,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684317,0,2025-05-31 12:10:03.938157,
70,-43.599998474121094,-6.875,-91.38999938964844,-34.0,-55.15999984741211,-55.369998931884766,-37.5099983215332,-66.08999633789062,-69.37999725341797,-3.428999900817871,-36.959999084472656,-27.969999313354492,7.859000205993652,-1.246999979019165,-7.130000114440918,61.529998779296875,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684317,0,2025-05-31 12:10:03.938157,
71,-12.800000190734863,17.59000015258789,-57.68000030517578,-14.210000038146973,-30.670000076293945,-36.68000030517578,-17.649999618530273,-51.650001525878906,-49.279998779296875,26.270000457763672,-23.639999389648438,-3.1679999828338623,26.040000915527344,13.479999542236328,4.261000156402588,62.79999923706055,0,0,0,0,0,0,0,0,0,0,0,0,0,4.684317,0,2025-05-31 12:10:03.938157,
